Ogrenci ID	Ad soyad	Kitap ID	Islem
101	Ahmet_Yılmaz	1001	0
102	Mehmet_Demir	1002	0
103	Ayşe_Kaya	1003	0
104	Fatma_Şahin	1004	0
105	Ali_Öztürk	1005	0
106	Zeynep_Arslan	1008	0
107	Mustafa_Çelik	1001	0
108	Elif_Yıldız	1008	0
109	Canan_Aydın	1016	0
110	Burak_Koç	1015	0
111	Gorkem Yetkiner	1007	0
112	Emir Tunceri	1004	1
113	Yigit Akyuz	1004	1
114	Ada Kurutluoglu	1012	1
115	Irem Karabulut	1007	1
116	Efe Demirel	1019	0
117	Selin �zt�rk	1003	1
118	Serhan Oztuna	1005	0
119	Ege Akal	1004	1
120	Esma Tokatlioglu	1001	0
121	Burcu Kavaklioglu	1017	0
122	Sarp Erturk	1009	0
123	Emel Ozkok	1018	0
124	Irem Aksit	1007	1
125	Sahnur Abaci	1003	0
126	Onur Durak	1010	1
127	Burcu Aclan	1016	0
128	Ruya Karaer	1019	0
129	Esma Pektemek	1017	1
130	Turker Kocabiyik	1013	1
131	Berk Evliyaoglu	1014	1
132	Irem Dusenkalkar	1019	1
133	Sinem Daglaroglu	1010	0
134	Cagan Babaoglu	1017	1
135	Barlas Adivar	1013	1
136	Berk Tasli	1017	0
137	Ada Sarioglu	1006	1
138	Ebru Adan	1018	1
139	Tuna Egeli	1010	0
140	Kutay Besok	1010	1
141	Ruzgar Tokatlioglu	1013	1
142	Emel Tokgoz	1009	1
143	Burcu Polat	1017	0
144	Koray Koyluoglu	1013	0
145	Ogun Alniacik	1003	0
146	Ece Baturalp	1019	1
147	Emel Nalbantoglu	1011	0
148	Emel Kocabiyik	1013	0
149	Emel Turkyilmaz	1020	0
150	Gorkem Numanoglu	1003	0
151	Ece Toraman	1013	1
152	Ege Corekci	1012	0
153	Burcu Kuzucu	1012	0
154	Sahnur Korol	1012	1
155	Ebru Sozeri	1012	1
156	Ogun Sezek	1008	1
157	Onur Adal	1013	0
158	Ece Ozkara	1008	1
159	Burcu Evliyaoglu	1002	0
160	Atakan Baykam	1011	1
161	Ogun Gurmen	1015	0
162	Gorkem Ercetin	1000	1
163	Utku Akman	1015	1
164	Ebru Topcuoglu	1006	0
165	Ada Limoncuoglu	1018	1
166	Irem Akaydin	1007	1
167	Gokturk Okumus	1009	0
168	Sahnur Tekand	1010	0
169	Baran Adal	1015	0
170	Kagan Limoncuoglu	1002	1
171	Emre Oztonga	1003	0
172	Sinem Kilicci	1012	0
173	Berke Akgul	1012	0
174	Turker Basoglu	1010	0
175	Ebru Sandalci	1005	0
176	Ege Babaoglu	1018	1
177	Yigit Alyanak	1000	0
178	Efe Ozgorkey	1011	0
179	Ece Erdogan	1010	1
180	Emre Erbulak	1000	1
181	Ali Bakircioglu	1011	0
182	Sinem Oztonga	1005	0
183	Esma Koc	1019	0
184	Berke Ozkok	1012	1
185	Toprak Koyuncu	1018	1
186	Bartu Yildizoglu	1003	0
187	Ahmet Akman	1006	0
188	Yigit Tekand	1011	1
189	Sinem Abadan	1013	1
190	Ruya Yesilkaya	1014	1
191	Umran Besok	1018	0
192	Ada Mertoglu	1016	0
193	Canberk Bakircioglu	1008	0
194	Sinem Onur	1016	1
195	Ebru Cagiran	1008	1
196	Berk Adal	1020	0
197	Ada Erginsoy	1002	1
198	Umran Kuday	1016	0
199	Ruya Dusenkalkar	1009	1
